"ID_Band","TimePoint","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell"
4620,"Baseline","Older","F",4470,3,"B","No","253","254","No","0.5","0.5","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4620,"Treatment","Older","F",4470,3,"B","No","333","327","No","0.4","No","No","U","54","2:42","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4621,"Baseline","Older","F",4470,3,"D","No","259","265","No","0.7","0.7","No","U","52","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4621,"Treatment","Older","F",4470,3,"D","No","343","332","No","0.6","No","No","U/L","52","3:00/4:14","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4622,"Baseline","Older","F",4470,3,"A","No","No","No","No","No","No","No","No","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4622,"Treatment","Older","F",4470,3,"A","No","302","265","No","0.6","No","No","U","54","3:01/6:30","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4625,"Baseline","Younger","F",4450,4,"E","No","241","240","No","0.3","0.3","No","U","58","1:46","031324A","75001L04",118,"",974.062733235044,63.2147540570181,0.0648980316155512,21.6997213511473,353530.225473754,13.9342085551652,362.944000844395
4625,"Heat","Younger","F",4450,4,"E","No","313","315","No","1.1","No","No","U","1.1","3:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4625,"Treatment","Younger","F",4450,4,"E","No","208","203","No","0.4","No","No","U","54","2:32","","",113,"",NA,NA,NA,NA,NA,NA,NA
4703,"Baseline","Younger","F",4112,5,"B","No","178","183","No","1.8","1.8","No","U","58","1:20","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4703,"Treatment","Younger","F",4112,5,"B","No","205","206","No","0.7","No","No","No","No","3:00/3:44","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4704,"Baseline","Younger","F",4112,5,"C","No","263","243","No","0.7","No","No","U","56","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4704,"Treatment","Younger","F",4112,5,"C","No","181","190","No","0.5","No","No","No","63","2:24","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4705,"Baseline","Younger","M",4184,5,"A","No","267","271","No","0.7","No","No","U","54","2:24","042224A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4705,"Treatment","Younger","M",4184,5,"A","No","270","No","No","No","No","No","L","34","5:00/4:13","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4707,"Baseline","Younger","F",4165,4,"A","No","232","230","No","0.4","No","No","U/L","52","2:58","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4707,"Treatment","Younger","F",4165,4,"A","No","178","133","No","0.6","No","No","U","No","3:00/4:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4708,"Baseline","Younger","M",4165,3,"A","No","231","228","No","0.3","0.3","No","U","56","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4708,"Treatment","Younger","M",4165,3,"A","No","241","270","No","0.3","No","No","U","60","3:00/5:30","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4712,"Baseline","Younger","F",4123,4,"B","No","211","212","No","0.4","0.4","No","U/L","54","1:59","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4712,"Treatment","Younger","F",4123,4,"B","No","211","210","No","0.3","No","No","U","54","1:36","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4713,"Baseline","Younger","F",4115,4,"A","No","222","No","No","0.4","No","No","U","52","1:34","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4713,"Treatment","Younger","F",4115,4,"A","No","273","261","No","0.6","No","No","U","52","2:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4715,"Baseline","Younger","F",4115,4,"C","No","348","253","294","0.5","No","No","L","50","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4715,"Treatment","Younger","F",4115,4,"C","No","209","200","No","0.6","No","No","U","60","1:50","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4717,"Baseline","Younger","F",4157,5,"C","No","292","275","No","0.6","No","No","U/L","50","2:42","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4717,"Treatment","Younger","F",4157,5,"C","No","256","221","No","0.5","No","No","L","59","3:00/4:57","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4718,"Baseline","Younger","F",4157,5,"A","No","269","269","No","0.4","No","No","Y","50","1:35","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4718,"Treatment","Younger","F",4157,5,"A","No","268","248","No","0.6","No","No","No","No","2:55","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4719,"Baseline","Younger","F",4222,4,"D","Yes","245","No","No","0.5","No","No","U","56.5","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4719,"Treatment","Younger","F",4222,4,"D","Yes","No","No","No","No","No","No","No","No","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4720,"Baseline","Younger","F",4374,5,"E","No","275","271","No","0.4","No","No","U","50","1:31","042224A","75001L04",118,"",165.417062166449,128.700416285524,0.778035920841229,24.191436629434,126633.246382883,15.6750893105825,765.539205716637
4720,"Heat","Younger","F",4374,5,"E","No","276","303","No","0.3","No","No","L","41","3:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4720,"Treatment","Younger","F",4374,5,"E","No","237","223","No","0.3","No","No","U","50","2:42","","",113,"",NA,NA,NA,NA,NA,NA,NA
4723,"Baseline","Younger","F",4206,5,"D","No","273","256","No","0.4","0.3","No","U","54","4:00","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4723,"Treatment","Younger","F",4206,5,"D","No","225","212","No","0.4","No","No","U","52","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4725,"Baseline","Younger","M",4574,6,"B","No","266","255","No","0.3","No","No","U","50","3:00/3:35","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4725,"Treatment","Younger","M",4574,6,"B","No","231","230","No","0.5","No","No","U","50","2:00","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4729,"Baseline","Younger","F",4374,5,"D","No","296","280","No","0.5","No","No","U","52","2:23","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4729,"Treatment","Younger","F",4374,5,"D","No","229","213","No","0.4","No","No","U","52","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4731,"Baseline","Younger","F",4175,6,"C","No","243","235","No","0.6","No","No","U","56","3:00/3:30","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4731,"Treatment","Younger","F",4175,6,"C","No","166","165","No","0.7","No","No","U","58","3:00/3:35","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4735,"Baseline","Younger","F",4210,6,"D","No","186","191","No","0.4","No","No","U","54","1:35","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4735,"Treatment","Younger","F",4210,6,"D","No","177","204","215","0.4","No","No","U","54","1:28","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4737,"Baseline","Younger","F",4210,6,"C","Yes","280","293","No","0.4","No","No","U","54","1:52","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",204.942182988898,30.2143487003374,0.147428646751431,23.8925037749568,90483.1354860997,16.1919426697766,441.505668410887
4737,"Treatment","Younger","F",4210,6,"C","Yes","No","No","No","No","No","No","No","No","No","No","No",113,"",NA,NA,NA,NA,NA,NA,NA
4738,"Baseline","Younger","F",4210,6,"E","No","254","217","No","0.3","No","No","L","52","2:30","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",123.49940959496,26.621642441016,0.215560888334015,24.6023404043547,54701.8200114112,17.0404975943659,442.931834174886
4738,"Heat","Younger","F",4210,6,"E","No","264","251","No","0.7","No","No","U","54","1:47","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4738,"Treatment","Younger","F",4210,6,"E","No","230","230","No","0.4","No","No","U/L","58","3:00/4:18","","",113,"Double check bleed times on actual datasheet",NA,NA,NA,NA,NA,NA,NA
4739,"Baseline","Younger","F",4023,5,"E","No","205","208","No","0.4","No","No","U","58","1:45","042224A","75001L04",114,"",92.0027300102222,48.2967878558527,0.524949508025322,25.0267168508104,149955.610003483,15.3550255018661,1629.90391683836
4739,"Heat","Younger","F",4023,5,"E","No","199","192","No","0.6","No","No","U","57","1:48","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4739,"Treatment","Younger","F",4023,5,"E","No","189","171","No","0.5","No","No","U","56","3:00","","",113,"",NA,NA,NA,NA,NA,NA,NA
4741,"Baseline","Younger","F",4111,6,"B","No","211","211","No","0.5","No","No","L","58","2:25","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4741,"Treatment","Younger","F",4111,6,"B","No","194","195","No","0.7","No","No","U","60","1:18","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4744,"Baseline","Younger","M",4111,6,"A","No","249","247","No","0.4","No","No","U","50","3:00/3:30","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4744,"Treatment","Younger","M",4111,6,"A","No","251","244","No","0.4","No","No","U","52","1:38","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4745,"Baseline","Younger","F",4111,6,"E","No","204","187","No","0.6","No","No","U","56","1:30","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",175.265044802604,54.8224639454668,0.312797477712751,24.1104720538162,95191.9389399925,16.1070468386642,543.131341718507
4745,"Heat","Younger","F",4111,6,"E","No","219","203","No","0.8","No","No","U/L","60","3:00/5:40","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4745,"Treatment","Younger","F",4111,6,"E","No","223","222","No","0.7","No","No","U","56","1:57","","",113,"",NA,NA,NA,NA,NA,NA,NA
4748,"Baseline","Younger","F",4150,7,"C","No","318","No","No","No","No","No","L","54","5:00","042224A","75001L04",118,"Glucose after 3 min",NA,NA,NA,NA,NA,NA,NA
4748,"Treatment","Younger","F",4150,7,"C","No","204","No","No","No","No","No","U","54","3:00","032024A","",113,"",NA,NA,NA,NA,NA,NA,NA
4749,"Baseline","Younger","F",4150,7,"D","No","234","230","No","0.3","No","No","U","52","1:47","042224A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4749,"Treatment","Younger","F",4150,7,"D","No","211","220","No","0.3","0.3","No","U","50","","032124A","",113,"",NA,NA,NA,NA,NA,NA,NA
4752,"Baseline","Younger","F",4546,6,"D","No","242","232","No","0.4","No","No","U","50","1:23","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4752,"Treatment","Younger","F",4546,6,"D","No","205","No","No","0.6","No","No","U/L","45","3:00/4:35","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4753,"Baseline","Younger","F",4113,6,"A","No","191","195","No","0.4","No","No","L","52","2:48","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4753,"Treatment","Younger","F",4113,6,"A","No","182","176","No","0.6","No","No","U","58","2:40","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4755,"Baseline","Younger","F",4290,8,"A","No","214","198","No","0.5","No","No","U/L","54","2:41","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4755,"Treatment","Younger","F",4290,8,"A","No","232","224","No","0.4","No","No","U","60","1:30","032124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4756,"Baseline","Younger","M",4147,7,"A","No","323","315","No","0.3","No","No","U","42","1:21","042224A","75001L04",114,"Necrotic Leg, cut on 11/16",NA,NA,NA,NA,NA,NA,NA
4756,"Treatment","Younger","M",4147,7,"A","No","222","221","No","0.3","0.2","No","No","No","3:00","032024A","",113,"",NA,NA,NA,NA,NA,NA,NA
4757,"Baseline","Younger","M",4147,7,"B","No","274","265","No","0.4","No","No","U","52","3:00/4:27","042224A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4757,"Treatment","Younger","M",4147,7,"B","No","306","257","241","0.4","0.3","No","U","54","2:00","032024A","",113,"",NA,NA,NA,NA,NA,NA,NA
4758,"Baseline","Younger","F",4147,7,"E","No","273","312","No","0.3","No","No","U/L","No","3:00/5:00","042224A","75001L04",114,"",290.063239219792,44.8724186660746,0.154698743580096,23.4045336666833,169281.373422467,15.1516132213239,583.601610041306
4758,"Heat","Younger","F",4147,7,"E","No","296","255","256","0.3","0.3","No","U","No","2:02","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4758,"Treatment","Younger","F",4147,7,"E","No","416","444","No","0.4","No","No","U/L","51","3:00/4:00","","",113,"",NA,NA,NA,NA,NA,NA,NA
4759,"Baseline","Younger","F",4147,7,"D","No","219","234","No","0.5","No","No","L","52","3:00","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4759,"Treatment","Younger","F",4147,7,"D","No","233","243","No","0.3","0.2","No","U","50","","032124A","",113,"",NA,NA,NA,NA,NA,NA,NA
4761,"Baseline","Younger","F",4290,8,"B","Yes","206","208","No","0.5","No","No","L","54","1:55","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4761,"Treatment","Younger","F",4290,8,"B","Yes","No","No","No","No","No","No","L","No","No","032124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4763,"Baseline","Younger","F",4564,9,"A","No","201","185","No","0.6","No","No","U","56","1:50","032124A","75001L04",118,"Plasma color listed as U-o?",NA,NA,NA,NA,NA,NA,NA
4763,"Treatment","Younger","F",4564,9,"A","No","213","204","No","0.4","No","No","U","56","1:30","032124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4764,"Baseline","Younger","M",4564,11,"B","No","224","204","No","0.6","0.5","No","U","No","2:50","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
