ZF_4625_B_BL	ZF_4719_B_BL	ZF_4720_B_BL	ZF_4737_B_BL	ZF_4738_B_BL	ZF_4739_B_BL	ZF_4745_B_BL	ZF_4761_B_BL	ZF_4768_B_BL	ZF_4774_B_BL	ZF_4775_B_BL	ZF_4784_B_BL	ZF_4785_B_BL	ZF_4798_B_BL	ZF_4802_B_BL	ZF_4810_B_BL	ZF_4817_B_BL
WDR73	8.47435715220653	8.5679970248024	10.5595383177701	8.93255713372575	8.85627575967457	7.77028575288897	8.21109015317603	8.07026374148596	7.59977638699326	8.77196333077162	8.26169587408522	9.04856037826327	7.15558172094052	10.3820476394186	7.37895847985957	9.00162559406735	8.57715113182886
THAP12	11.8475230306957	11.0499983870717	11.2737626312389	11.5504860959271	11.5157686155457	11.8994168149511	11.6532296186215	11.2168016966293	11.398119101187	10.7385581855076	11.5587063088352	11.3463086932446	11.425986439757	11.1360555769687	10.8839362025064	11.0635488266703	11.0206181240379
SAMSN1	8.19216408078033	9.27724390314174	6.87052467488751	7.01288720186075	8.1944559738251	7.86464373967575	7.07941696434819	9.14178970416377	9.01864597165731	9.1590864184764	8.45740603272952	8.73879018343507	8.99900775756234	9.43163697293639	8.33725795705865	8.59338730764941	9.13781098339152
HSPA13	10.0593714101186	10.0280514563502	9.57884829847225	9.41346866558533	9.64105757078851	10.1461852027574	10.0872988090781	9.86583927645891	9.72442294181569	9.71558372283296	9.80222606342336	10.2943573925431	9.7793381252004	9.47671929140024	9.72608882189004	9.91541408575225	9.50875278240313
CHMP2B	11.3005534238624	10.5161218189987	10.1892993782015	10.5367988529125	11.3104701519111	11.3357626049131	9.52133590964018	9.90252554269465	10.8993219015388	11.0519046427802	10.9897639934109	10.6112742773904	10.7712815274902	10.6894681564354	10.8485256937618	10.5489629323116	10.2874254992827
LOC100229926	9.22942938432421	9.00800942112877	9.63255053543561	9.24552993008789	8.95470988853076	8.32314177598295	8.73000565196452	8.15089092699627	8.75689271005623	8.67966973685057	8.79376313433527	9.1977730927899	8.40024724294059	8.86383531739391	9.01838487039931	8.92622587519742	8.54062964312462
ACP6	10.9851654999773	11.4278921077159	10.3593820363117	11.4061193242188	11.0282461165572	11.4577483461122	10.8942737175934	10.9853779948759	11.0674108173582	10.5559112575571	11.3584577824008	10.1851491661458	10.3674900760382	10.8867839162779	10.1977490508645	11.2867495684771	11.2346471406809
POGLUT1	7.38473834943164	7.81676410124442	8.88438805375248	8.56164500641355	8.7185473545697	8.15679681621497	9.12119188824439	8.1066554203628	9.12354759371933	7.89228809293572	7.91638162536499	7.92681602737727	8.28755530438978	8.66718260705962	7.31889337438936	8.60116554252931	8.38864604872204
TIMMDC1	8.71028022132225	7.91211209762634	9.18255540988851	9.11880669245281	9.01598927710355	8.06583118032124	8.37129713291599	7.79163433067557	8.80395055020765	8.75999335713721	8.22716397823026	8.20775557782972	7.8544086468478	8.91386685063259	8.63692804715749	8.305143460502	8.04189627039304
CD80	6.76856531108263	6.04262242242637	7.36939416806059	6.07138221831865	6.77489593188929	4.99339165739581	5.99202135781867	6.86869757798855	7.18721585207462	7.51887912543679	7.58351961009226	7.13972872469885	6.83618111539334	7.18295717012682	7.01255628491538	6.56929612154563	6.60622009470006
ADPRH	7.92810500094231	8.47736975737612	9.66917739965507	7.81196476839415	7.36302711773895	7.12071661941017	8.70959008670657	8.45954498450036	8.01052377303133	8.94846024134302	7.67420692124214	9.46919396666942	7.6239023907315	7.15549298130266	8.58048947549306	7.41935123698049	8.63025628372911
CD101	5.72727014824446	6.90490284273674	6.68717897082955	3.27620402577433	6.10921341898784	6.98979712410273	4.79953955115435	7.59432361933484	5.9302827844992	7.20245861719739	6.11773711572878	7.06709444286983	7.5730274225608	5.72955285447555	7.93375402768528	7.75536328260054	7.40111604997438
CD2	6.62698505749503	7.87877798510729	6.65678322096212	6.02401499793376	7.24513359141811	6.86252855229903	6.43493127963271	8.0748632204567	8.01052377303133	7.28830376146451	7.62200108158338	7.53035888779411	7.96565447063568	7.82396169087555	7.59061775309969	6.96855374026854	7.05255726395138
PTGFRN	6.75501639001033	6.83710016857781	6.92255169329142	5.06953590853731	7.30920652840253	4.30601049143265	6.81214525013914	6.32120236772012	7.35747511616	7.1299039128782	7.50333335843988	7.78305006492952	6.62407511821103	6.57096892278319	6.57258824856089	6.40126889061776	6.48844069013745
RCSD1	10.5151727271561	10.9794184560174	10.7270731684669	9.49606857072915	10.2511318699842	11.9560442724743	10.5436080332425	10.8703671708896	9.85406801998391	9.6874206970864	10.5087342003221	9.92578995158776	10.9471027003802	10.2594844411082	10.4884531066339	11.4322898065106	10.9175760705339
MPZL1	7.5894506241249	6.45820872608708	8.25772325727155	6.04789299716339	6.26272534359385	5.93936875256649	6.93447494511152	7.00025058213461	7.84038621122208	8.39235529487596	6.94680155313684	8.06170494777361	7.70039160744548	6.5144379985281	7.24011487321071	7.03896722319133	8.30401801699575
MPC2	10.265733871498	9.5660950415802	10.1310653737767	10.4215783181398	10.5435713155574	10.1010835122585	9.90029543535169	9.15921994903907	10.2373716995443	10.3715386992672	10.6307554479003	9.94054853001602	10.0609470809944	10.1267131612091	9.71593588702315	10.0635191429281	10.2517202373671
